JOB;EYE;TIMESTAMP;LMMEASDONE;POLAR;TINT;CRIB;LTYPE;LDVEN;LNAME;ENGLOC;LIND;SBOCIN;SBOCUP;FCOCIN;FCOCUP;ERDRIN;ERDRUP;ERNRIN;ERNRUP;BEROCIN;BEROCUP;BEROCA;CTHICK;LDDRSPH;LDDRCYL;LDDRAX;LDNRSPH;LDNRCYL;LDNRAX;LDPRSPH;LDPRCYL;LDPRAX;LDPRVH;LDPRVV;LDADD;INSDRSPH;INSDRCYL;INSDRAX;INSDRPRVH;INSDRPRVV;INSNRSPH;INSNRCYL;INSNRAX;INSNRPRVH;INSNRPRVV;INSPRSPH;INSPRCYL;INSPRAX;INSPRVH;INSPRVV;INSADD;INSCTHK;POS34VALID;POS34X;POS34Y;POS34T;TPERR34X;TPERR34Y;TPERR34T;POS34MANU;POSPEVALID;POSPEX;POSPEY;POSPET;TPERRPEX;TPERRPEY;TPERRPET;PEDIST;POSPEID;DBPVALID;DBPX;DBPY;DBPT;DBPFE;DBPSE;CCPOSPRPX;CCPOSPRPY;CCPOSPRPZ;CCPOSPRPT;CCPOSPRPP;CCPOSDRPX;CCPOSDRPY;CCPOSDRPZ;CCPOSDRPT;CCPOSDRPP;CCPOSNRPX;CCPOSNRPY;CCPOSNRPZ;CCPOSNRPT;CCPOSNRPP;CCPOSDBPPRPX;CCPOSDBPPRPY;CCPOSDBPPRPZ;CCPOSDBPPRPT;CCPOSDBPPRPP;CCPOSDBPDRPX;CCPOSDBPDRPY;CCPOSDBPDRPZ;CCPOSDBPDRPT;CCPOSDBPDRPP;CCPOSDBPNRPX;CCPOSDBPNRPY;CCPOSDBPNRPZ;CCPOSDBPNRPT;CCPOSDBPNRPP;LFRAMEORX;LFRAMEORY;LFRAMEORZ;LFRAMEXX;LFRAMEXY;LFRAMEXZ;LFRAMEYX;LFRAMEYY;LFRAMEYZ;LFRAMEZX;LFRAMEZY;LFRAMEZZ;LFRAMEDBPORX;LFRAMEDBPORY;LFRAMEDBPORZ;LFRAMEDBPXX;LFRAMEDBPXY;LFRAMEDBPXZ;LFRAMEDBPYX;LFRAMEDBPYY;LFRAMEDBPYZ;LFRAMEDBPZX;LFRAMEDBPZY;LFRAMEDBPZZ;LMFOALDDRSEQ;LMFOALDDRCYL;LMFOALDDRAX;LMFOALDNRSEQ;LMFOALDNRCYL;LMFOALDNRAX;INSGMC;INSAV;INSGMCDBP;INSAVDBP;INSEMDRSEQ;INSEMDRCYL;INSEMNRSEQ;INSEMNRCYL
4327235;L;2018-11-16_16.58.44;False;False;540;64.2;;ESSILOR;BB5540;B;1.586;NaN;NaN;5.4;7.6;NaN;NaN;NaN;NaN;0;0.102;NaN;NaN;3.5;-0.5;88;3.5;-0.5;88;NaN;NaN;NaN;0;-1.5;2.41;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;False;0;0;0;0;0;0;0;False;0;0;0;0;0;0;34;0;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
4327235;R;2018-11-16_16.58.44;True;False;540;64.2;NV;ESSILOR;BB5540;F;1.586;7;2.6;6.9;4.9;0;9;0;-9;0;0.113;NaN;4.4;4.01;-0.5;70;4.01;-0.5;70;NaN;NaN;NaN;0;-1.5;2.45;NaN;NaN;NaN;NaN;NaN;3.9432;-0.4883;76.028;-0.4736;1.5187;3.0676;-0.3064;76.704;-0.5187;-1.6076;NaN;4.471;True;0.0472254946243949;0.046679373508192;0.00784127125550091;-0.0589495595464778;-1.75219756575744E-18;0;1;False;999.9;999.9;999.9;1.32685016413467E-17;0.00485728038854993;0;42.8945;20060;True;0.953959227577647;-0.0443031737362807;1.38404687070416;0.0568201055228314;0.0237749385792832;-0.115393853016943;0.135223247706785;1.44269964944948;5.39078205295159;356.560678216123;-0.132093528898166;8.92106567222611;1.28102507731563;5.94089229066888;25.5313078420743;-0.140892790372304;-8.702753520212;1.2143064283602;6.00661904790971;335.410802071352;-1.03348732781637;0.200221049517701;1.52324878215023;4.78945111623163;356.611481519655;-0.840513035059605;8.98367473143554;1.3378101986662;5.4845743857863;28.2942305828996;-1.27378681914088;-8.63494251121228;1.31901197990425;5.40119980987498;332.910243531458;0.301072155660466;0.110207678574854;5.86692459296341;0.995590151860187;0.000297940487020561;-0.0938091719954753;-0.00217780113844182;0.999798857165146;-0.0199374620618803;0.0937843627755282;0.0200538386034622;0.995390544889821;-0.663334482550052;0.178320008025909;5.95168756256726;0.996221656950846;-0.0239686121177185;-0.0834740430029733;0.0221469717240377;0.999497416123349;-0.022680978951632;0.0839757218817829;0.0207465851623842;0.996251804183327;1.91346602029416;1.89696601179156;150.591162862246;1.91346602029416;1.89696601179156;150.591162862246;0.163;0.021;0.042;0.027;0.005;-0.036;0.075;-0.023
4339880;L;2018-11-16_19.52.15;True;False;540;59.2;PR FF;ESSILOR;SLM540;F;1.586;4.2;-5;3.6;-1.2;0;8;2.6;-13;0;0.083;NaN;2.9;0.76;-1.5;90;2.99;-1.42;94;NaN;NaN;NaN;0;-1.67;2.28;0.7919;-1.4472;90.427;0.1873;-2.4337;3.1024;-1.449;94.092;0.3249;1.3118;1.1119;-1.401;93.05;0.1797;-1.6978;2.3096;2.928;True;-0.0974995700522161;-0.054095565166782;0.00794559565839342;0.000123862534315275;-8.53494689894509E-18;0;0;True;3.56985254146089;1.09095651488399;269.859948843409;2.18126926115391E-17;0.0549363595100346;0;42.183;0;True;-0.183601621912957;-0.452529276838594;-0.909600997858396;0.0822912004338832;0.0426269264513253;-0.086096412186768;0.104072435379094;3.1633962438238;4.61242196654566;221.706861679576;-0.0972988943881172;7.95489460538245;3.37417168414851;3.44762818449464;179.858520115264;-2.56071574144406;-12.7099474381651;1.89558612846719;7.64740676622559;233.744477997977;0.0860631078834003;0.553077116764427;3.1841063680688;4.39175604787095;220.565464200532;-0.0473101906240302;8.40460016633049;3.35853573744828;3.3957702670957;176.267233254014;-2.18821463878547;-12.3012111322108;1.97873661720416;7.39644925237775;233.820833575475;-0.257483513680058;-0.0487125203994047;6.01086802544449;0.998186907429662;-0.000178203741216165;0.0601902490394737;-0.00137107855074407;0.999668825138479;0.0256974743868037;-0.0601748949281586;-0.0257334080463385;0.997856088687495;-0.0800065535154018;0.410868291111802;6.03246243301726;0.998128687458979;0.015703603286922;0.0590975474552296;-0.0169746364326657;0.99963395157345;0.0210671445532578;-0.0587450848105181;-0.0220308807235665;0.998029886979918;0.123794256475732;1.53127621810372;0.435918718851838;0.0789007684632872;1.39793372347068;177.168792578155;0.043;0.084;0.05;0.062;0.069;-0.029;0.097;0.026
4339880;R;2018-11-16_19.52.15;False;False;540;59.2;;ESSILOR;SLM540;B;1.586;NaN;NaN;3.5;-2.6;NaN;NaN;NaN;NaN;0;0.068;NaN;NaN;-0.5;-1.25;80;1.8;-1.17;77;NaN;NaN;NaN;0;-1.67;2.33;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;False;0;0;0;0;0;0;0;False;0;0;0;0;0;0;34;0;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
4352251;L;2018-11-16_22.46.28;True;False;;69;PR FF;HORIZONS;10021;F;1.586;6.102;-0.56;5.71;0.52;0;8;2.5;-14;0;0;NaN;3.81;1.5;-1;162;NaN;NaN;NaN;NaN;NaN;NaN;0;-0.501;2.006;1.5577;-1.0293;160.037;0.1661;-1.1489;3.4814;-0.91;157.399;-0.0802;2.0811;1.9181;-1.1912;153.375;-0.1216;-0.5064;1.9833;3.806;True;-0.0560419729929715;-0.00894773893607714;359.968663903055;0.0184911351257532;-1.34913600799598E-17;0;0;True;5.78158632193125;-0.604752244092987;269.877982518962;1.33317445237944E-17;0.00706619238984084;0;37.8289;0;True;0.861322967106648;-0.632598297995161;1.72837894234568;0.0573379811786314;0.0213806938067026;-0.00843383953565552;0.114136931282944;2.37980218660431;3.38523382576195;218.835373725475;-0.0195195641875547;7.91170641823395;2.45665243072199;2.59586399940379;157.154883177706;-2.41030730927805;-13.6017558066627;1.20188868555562;7.10236734721507;239.709316155424;-0.830603441435572;0.758933736575861;2.3558629572799;3.54395365234209;210.813107236267;-0.605800923343106;8.55480761596946;2.40316189902751;3.00374101139359;154.202398640936;-3.64855822083713;-12.8775213089535;1.21499884046187;7.10429138367986;234.65141582356;-0.184018661668689;-0.0271718867353359;6.19250975380783;0.998952641442306;-0.00104359407169858;0.0457441916187466;-0.000264442054179725;0.999591495982003;0.0285792097662216;-0.0457553300265562;-0.0285613737742993;0.998544289304328;-1.03326581437451;0.638105636948508;6.16794934175897;0.99816290815829;-0.0313383414063952;0.051852841145704;0.0300831982451332;0.999239393694703;0.0248119985488199;-0.0525909684292789;-0.0232065173289497;0.998346456693833;1.19087260175466;1.11923180982894;63.2200223558528;1.01552368297727;1.20908684214723;68.6942097944501;0.133;0.056;0.037;0.028;0.041;0.044;0.063;-0.037
4352251;R;2018-11-16_22.46.28;True;False;;70;PR FF;HORIZONS;10021;F;1.586;6.629;-0.618;6.211;0.52;0;8;2.5;-14;0;0;NaN;3.35;1.25;-0.75;165;NaN;NaN;NaN;NaN;NaN;NaN;0;-0.501;2.005;1.3227;-0.7656;164.857;-0.0655;-1.1744;3.3382;-0.7295;156.82;-1.1789;2.0739;1.5751;-0.7416;165.301;-0.2155;-0.5849;2.0336;3.371;True;0.00641984170658929;-0.0720252562730138;0.076717471583505;-0.0185111689045578;-5.39033800229664E-18;0;0;True;-6.23541340411193;-0.705662511520776;89.8765418851231;1.31238181247592E-17;0.0126142565088692;0;37.7778;0;True;1.10863534809184;-0.68064387454445;-0.0557344524090104;0.075348543039188;0.0208041320408316;-0.0875816090899928;-0.00281810621342077;2.84217398331714;3.75083436358109;349.166456763846;-0.111417937238658;7.81749863070968;2.72464654083672;4.52523723861794;33.0565872639672;2.35880179520239;-13.7776630558716;1.97313499746315;6.17365822484576;310.92091682082;-1.17713879298913;0.663370462310098;2.90765834798702;3.19106639952034;352.998917858694;-1.21205739928878;8.48428675751296;2.74736796814125;4.29633474592443;40.398717558619;1.28708961727943;-13.1083153283026;2.13660517962745;5.60075925023081;309.093340033565;0.127467321551765;-0.043969185643408;6.18319050006937;0.997947792903825;0.00125383327594428;-0.064020547799124;-0.00100933515920687;0.999992074501943;0.00385125639714893;0.0640248692378218;-0.00377873463163618;0.997941149208541;-0.992215167484819;0.64066100520427;6.25067022210192;0.998483006698001;0.00221289620320676;-0.0550162560132335;-0.00230482405998721;0.99999605181154;-0.00160752834633354;0.0550124815053122;0.0017318925271491;0.998484164835328;1.08996537168391;0.496214614834019;88.8842946213672;0.845683265159258;0.736879264916311;78.9884896334202;0.082;0.081;0.048;0.045;0.066;0.016;0.118;0.02
4382282;L;2018-11-16_22.45.40;True;False;;58;PR FF;HORIZONS;10021;F;1.586;5.225;2.784;5.229;3.54;0;8;2.5;-14;0;0;NaN;4.41;3.5;-0.75;88;NaN;NaN;NaN;NaN;NaN;NaN;0;-1.888;1.979;3.5306;-0.7306;88.567;-0.1934;-4.9369;5.4414;-0.7823;88.233;0.7814;4.2651;3.69;-0.7241;94.36;-0.1756;-2.1146;1.885;4.352;True;-0.00378772700560273;0.000379417786236849;0.0610349717967161;0.0440024839774783;-2.66727628449349E-17;0;0;True;5.33779682639326;-3.74652598913675;269.813196274719;2.28385206175903E-17;0.0200620305165543;0;36.0055;0;True;-0.0268259858932165;-0.296589085013456;-0.338152622927832;0.043576850003458;0.0188675167093376;0.194662679430278;0.0628243616365033;1.75078455234149;4.7263747497185;170.578247304572;0.207953825424254;7.80757977743307;1.41936912625539;6.23971411381963;138.269603901915;-2.17117921050995;-13.6642300978497;1.1350655941572;6.70028942412036;213.239623661591;0.218125460921225;0.349597401322757;1.73835222456665;4.74059064028918;167.756441417049;0.188350805708807;8.09439863216308;1.37195466060609;6.38890282801769;136.65107022906;-2.07140533863376;-13.387593312413;1.18626564604943;6.53125201887879;211.835041086397;-0.1640929855689;0.122389655088589;6.15575258465975;0.996740534221767;0.00168369166849167;0.0806565101009955;0.00201119923954726;0.998952861357146;-0.0457070657993941;-0.0806490081583486;0.0457203014943772;0.995693422452081;-0.138348982019984;0.427000497014168;6.14344262350147;0.99676373546149;0.00757967765454798;0.0800287707984448;-0.0035638110792797;0.998732607373663;-0.0502043645432924;-0.0803078758245297;0.0497566825186099;0.995527456992169;3.22627088076021;0.860424260405785;4.70321132845541;3.09801389109311;0.730044823457111;3.27200719791026;0.026;0.032;0.028;0.018;0.05;-0.019;0.037;-0.012
4382282;R;2018-11-16_22.45.40;True;False;;58;PR FF;HORIZONS;10021;F;1.586;3.407;2.308;3.23;3.54;0;8;2.5;-14;0;0;NaN;3.54;3;-1;90;NaN;NaN;NaN;NaN;NaN;NaN;0;-1.888;1.985;3.0532;-0.9964;88.911;-0.1392;-4.4625;4.9766;-1.0223;89.534;-0.8422;3.771;3.2609;-0.9944;85.037;-0.1068;-1.9572;1.9105;3.479;True;0.0276467260475316;-0.00398169122314034;0.0191991087261289;-0.0224836541669858;-1.1124469657652E-17;0;0;True;-3.16276114092078;-3.75017688921999;89.7178689671292;2.1043578765571E-17;0.0281100880573075;0;35.8725;0;True;-0.00435020623829541;-0.358295797261857;0.0400121880217131;0.0504826757949788;0.0211172668637335;0.0274800281387081;0.0951378014576401;2.70752800170351;1.73549901082859;358.064550866313;0.0180507192492825;7.87480469824909;2.46381828754414;4.04863953637879;65.0978954531411;2.44338025523384;-13.6455868686776;1.9345040051096;5.87197949980809;299.639202397123;0.0320226948718446;0.445813020493825;2.69496816819282;1.75105646307731;7.24846557108506;0.0268890925545424;8.22621678359173;2.41302271108827;4.30663345304863;66.6117834791839;2.44042096042863;-13.2933132619516;1.98969017508279;5.62944474755876;301.04647498724;0.134568320959798;0.0915218063434995;6.24820921842507;0.999548902786559;0.000458708790447655;-0.0300296607445408;-0.00139995944845304;0.999508098442873;-0.0313305164440987;0.0300005175243584;0.0313584236427282;0.999057865298559;0.139270596600452;0.459464481417062;6.2356727765046;0.999547648670593;-0.000238809819399907;-0.0300739256991792;-0.000851153970283342;0.999343304076231;-0.03622479999836;0.0300628271127062;0.0362340112031841;0.998891046540171;2.50930520450504;1.07874157076679;177.222391508774;2.44353147282284;0.985247119650494;179.729998870666;0.024;0.044;0.031;0.027;0.07;0.015;0.046;-0.004
4412919;L;2018-11-16_13.57.36;True;False;540;64.2;NV;ESSILOR;BB5540;F;1.586;5.2;-3;5.3;-2.3;0;9;0;-9;0;0.088;NaN;3.1;3.5;-1;80;3.5;-1;80;NaN;NaN;NaN;0;-1.67;2.64;NaN;NaN;NaN;NaN;NaN;3.4835;-0.9547;78.49;0.161;1.1346;2.5851;-0.997;75.365;-0.0211;-1.5667;NaN;3.222;True;-0.0579298722097925;0.0138425088717675;0.00382815516534129;0.034317430327493;-1.44761291678487E-17;0;0;False;999.9;999.9;999.9;2.83460401893689E-17;0.0906880775485984;0;42.6504;20060;True;0.147993302207959;-0.310425632874844;2.07288425540653;0.0416144283946989;0.031679084799544;-0.0735030104980919;0.204779633574597;3.10630610884988;4.83048109826496;236.204383631288;-0.077709642229374;9.02991432380168;3.47739448541296;3.02549542859739;193.018317919759;-0.0460400756857152;-8.62504326865;2.27388257601302;7.04691450915285;249.386710711244;-0.205416411312886;0.514928112568451;3.11225451048711;4.75787779832458;233.559862404441;0.110201512090365;9.3362699787068;3.46997824713173;3.00595370615856;189.323924100572;-0.499145711263235;-8.30999697133018;2.29330573197188;6.96512091472243;247.065331838028;-0.218123893303252;-0.0113219067043173;6.1844244735978;0.998873280424177;-0.000135994827522714;0.0474568347032394;-0.00186431795228266;0.999111521717796;0.042103342970867;-0.0474203961731289;-0.0421443789390299;0.997985549670248;-0.357539626352769;0.308864702733916;6.19074219711024;0.998213830123718;-0.0363241470398936;0.0474310625177383;0.0344087989909234;0.998583141073958;0.0405924243531848;-0.0488383445843492;-0.0388878734915011;0.998049372222421;1.05139601024134;1.79191367713195;18.1561374499317;1.05139601024134;1.79191367713195;18.1561374499317;0.08;0.032;0.044;0.013;0.007;-0.006;0.041;0.002
4412919;R;2018-11-16_13.57.36;True;False;540;64.2;NV;ESSILOR;BB5540;F;1.586;4.3;-2.5;4.9;-1.6;0;9;0;-9;0;0.083;NaN;2.9;3.25;-0.75;106;3.25;-0.75;106;NaN;NaN;NaN;0;-1.67;2.62;NaN;NaN;NaN;NaN;NaN;3.2212;-0.6904;105.054;-0.2314;0.8158;2.3223;-0.7219;107.772;-0.0559;-1.6431;NaN;3.051;True;0.022920426092933;-0.0776665194773049;0.0676158514184126;-0.0288925688959319;-2.25145288047145E-18;0;0;False;999.9;999.9;999.9;2.60324526501635E-17;0.0820692995641743;0;42.6438;20060;True;0.0498397944342006;-0.14948357276174;0.0361013697658561;0.0512932545028756;0.0290806596987439;-0.0645767078445893;0.0421965005842502;3.23206002830557;3.99375494974329;321.292777453948;-0.076986687103518;8.87236008083944;3.35248091132866;3.55336307252342;17.4163104439891;-0.0798612650337926;-8.79917339425868;2.61525316888941;6.0547515395096;298.556697843629;-0.113421970433604;0.189422217570057;3.23679132610687;3.91504241523537;322.025739846172;-0.121158805178298;9.02039659032433;3.34328930387665;3.55404021430744;18.9158428591383;-0.133550169191536;-8.65227142412392;2.6339791630117;5.96144873847652;298.694727191641;0.0951401982978004;-0.0858122436691019;6.16494461563582;0.998531532568621;0.000767425158723513;-0.0541681596954039;9.1049139673493E-05;0.99987447065604;0.0158440727200272;0.0541735191418758;-0.0158257381795954;0.998406117687014;0.0447459192701029;0.0659451791922835;6.16998773517844;0.99855900499908;0.000123899807398578;-0.0536646828378293;0.000642744678536978;0.99989799554978;0.0142683346894844;0.0536609766452801;-0.0142822667798448;0.998457067900821;0.963435795089548;1.40145998721231;159.006440172824;0.963435795089548;1.40145998721231;159.006440172824;0.046;0.036;0.05;0.027;0.019;-0.007;0.044;-0.007
