JOB;EYE;TIMESTAMP;LMMEASDONE;POLAR;TINT;CRIB;LTYPE;LDVEN;LNAME;ENGLOC;LIND;SBOCIN;SBOCUP;FCOCIN;FCOCUP;ERDRIN;ERDRUP;ERNRIN;ERNRUP;BEROCIN;BEROCUP;BEROCA;CTHICK;LDDRSPH;LDDRCYL;LDDRAX;LDNRSPH;LDNRCYL;LDNRAX;LDPRSPH;LDPRCYL;LDPRAX;LDPRVH;LDPRVV;LDADD;INSDRSPH;INSDRCYL;INSDRAX;INSDRPRVH;INSDRPRVV;INSNRSPH;INSNRCYL;INSNRAX;INSNRPRVH;INSNRPRVV;INSPRSPH;INSPRCYL;INSPRAX;INSPRVH;INSPRVV;INSADD;INSCTHK;POS34VALID;POS34X;POS34Y;POS34T;TPERR34X;TPERR34Y;TPERR34T;POS34MANU;POSPEVALID;POSPEX;POSPEY;POSPET;TPERRPEX;TPERRPEY;TPERRPET;PEDIST;POSPEID;DBPVALID;DBPX;DBPY;DBPT;DBPFE;DBPSE;CCPOSPRPX;CCPOSPRPY;CCPOSPRPZ;CCPOSPRPT;CCPOSPRPP;CCPOSDRPX;CCPOSDRPY;CCPOSDRPZ;CCPOSDRPT;CCPOSDRPP;CCPOSNRPX;CCPOSNRPY;CCPOSNRPZ;CCPOSNRPT;CCPOSNRPP;CCPOSDBPPRPX;CCPOSDBPPRPY;CCPOSDBPPRPZ;CCPOSDBPPRPT;CCPOSDBPPRPP;CCPOSDBPDRPX;CCPOSDBPDRPY;CCPOSDBPDRPZ;CCPOSDBPDRPT;CCPOSDBPDRPP;CCPOSDBPNRPX;CCPOSDBPNRPY;CCPOSDBPNRPZ;CCPOSDBPNRPT;CCPOSDBPNRPP;LFRAMEORX;LFRAMEORY;LFRAMEORZ;LFRAMEXX;LFRAMEXY;LFRAMEXZ;LFRAMEYX;LFRAMEYY;LFRAMEYZ;LFRAMEZX;LFRAMEZY;LFRAMEZZ;LFRAMEDBPORX;LFRAMEDBPORY;LFRAMEDBPORZ;LFRAMEDBPXX;LFRAMEDBPXY;LFRAMEDBPXZ;LFRAMEDBPYX;LFRAMEDBPYY;LFRAMEDBPYZ;LFRAMEDBPZX;LFRAMEDBPZY;LFRAMEDBPZZ;LMFOALDDRSEQ;LMFOALDDRCYL;LMFOALDDRAX;LMFOALDNRSEQ;LMFOALDNRCYL;LMFOALDNRAX;INSGMC;INSAV;INSGMCDBP;INSAVDBP;INSEMDRSEQ;INSEMDRCYL;INSEMNRSEQ;INSEMNRCYL
4400155;L;2018-11-20_08.21.38;True;False;;59.5;PR FF;SHAMIR;2;F;1.586;2.179;-4.9202;2.2282;-5.0469;0;10;2;-11;0;0;NaN;1.6;-1.25;-0.5;17;0;-0.5;17;NaN;NaN;NaN;0;0;1.25;-1.2291;-0.5144;14.883;-0.1362;1.5671;-0.0384;-0.4609;17.943;-0.0168;-0.7836;-0.9803;-0.4064;5.391;-0.0092;0.043;1.2174;1.822;True;-0.0940987903682277;-0.0735506453596081;0.00264752635549882;-0.0013337305947904;-4.00517793026354E-18;0;0;False;999.9;999.9;999.9;3.34365343923518E-18;-0.00898309101094656;0;39.8011;20060;True;0.0823670981470319;-0.242520237559192;0.890593479224227;0.0246221351739882;0.0103035973787463;-0.133896444747321;0.00401365641505894;4.40106408270123;3.300311802199;263.965547218489;-0.124199477040479;9.86084350150973;4.54057054252553;1.75975875952943;104.993326068259;-2.1147540626612;-10.8158579592377;3.30506615824402;7.89916631113429;262.487453166847;-0.211884414895343;0.246599332917819;4.41431787933124;3.22002097221912;263.333674845837;-0.0490536290037541;10.1026614738838;4.54032853778756;1.83021429876217;102.775815764487;-2.36133169368993;-10.5421175765778;3.33397835977951;7.81830431134563;261.686958676939;-0.143578710512058;-0.0875712945048875;5.99842964510259;0.999981447171498;-0.000704851077966096;0.00605049566189215;0.000356944513827258;0.998356360281663;0.0573101254209462;-0.00608094593058796;-0.0573069024647854;0.998338089540052;-0.222316292123609;0.157349329192672;6.01181788203974;0.999852123842063;-0.0162417035992967;0.00565132840203837;0.0159003995501985;0.998307248288785;0.0559447522848932;-0.00655040019076249;-0.0558466210102868;0.998417872025073;-1.45404789716183;0.530435844714941;104.928319181806;-1.42730540208966;0.5414862384876;104.471371351994;0.015;0.016;0.01;0.009;0.004;0.03;0.011;-0.004
4400155;R;2018-11-20_08.21.38;True;False;;59.5;PR FF;SHAMIR;2;F;1.586;-0.2585;-4.9109;-0.2718;-5.0469;0;10;2;-11;0;0;NaN;1.6;-1.5;-0.5;142;-0.25;-0.5;142;NaN;NaN;NaN;0;0;1.25;-1.4811;-0.5199;142.853;0.1353;1.618;-0.2682;-0.4861;137.617;-0.0986;-0.9016;-1.2737;-0.314;142.148;-0.0445;-0.0011;1.2298;1.819;True;-0.0649101840979158;-0.0733558517321519;359.95965376186;-0.00166047501610445;-4.17446401052935E-18;0;0;False;999.9;999.9;999.9;3.12726279818683E-18;-0.0102643236459489;0;39.8043;20060;True;0.108730367520104;-0.330613446053998;0.964039768108822;0.0259688317192145;0.0106928982981369;-0.118674637929742;-0.0345937188646256;4.59113375175366;1.67762697547705;290.97832311379;-0.112564950784619;9.81848087428991;4.42629742038741;3.61268854750126;76.8816791366662;1.83860908939715;-10.8830620323746;3.80212548635285;6.33626799628703;281.280793899531;-0.220731091157226;0.296650886826418;4.60092933188503;1.55836881282718;291.276550557446;-0.0492233904403611;10.1484858865185;4.41473543924258;3.73148627754983;76.5141328165428;1.55388611588578;-10.5840761453056;3.83585642621125;6.21226043638655;280.443400528585;-0.10169177682643;-0.0789441412527589;6.1908103542599;0.999943665643297;-0.00143041686419988;-0.0105175780216443;0.00171827406723197;0.999622764172402;0.0274112546694833;0.0104744008934469;-0.0274277825556498;0.99956890891524;-0.204740858684778;0.255535935892947;6.200704214273;0.999780054204907;-0.0182542651556488;-0.0103259390691505;0.01851009756073;0.999509838701681;0.0252479430218054;0.00985999504689526;-0.0254335239824791;0.999627888944435;-1.73699407043489;0.501031419360162;52.805161659141;-1.71425038328199;0.491125306147621;53.8983099040713;0.02;0.019;0.013;0.009;0;0.019;0.017;-0.001
4436368;L;2018-11-20_09.26.20;True;False;;60.1;PR FF;SHAMIR;2;F;1.586;2.916;-0.652;2.9779;-0.6513;0;10;2.3;-9.5;0;0;NaN;2.09;0.5;-0.5;75;2.75;-0.5;75;NaN;NaN;NaN;-0.0001;-0.4393;2.25;0.5526;-0.4907;75.448;-0.0315;-1.1278;2.777;-0.4698;74.046;0.4479;1.497;1.124;-0.428;97.737;0.043;-0.4383;2.2349;2.102;True;-0.0572133711381939;0.00188373229495219;0.0220741527459158;0.00334168745952207;-6.23142965175539E-18;0;0;True;2.97952126274112;0.579346791695447;269.800593116017;6.95842122159316E-18;0.00729690912672729;0;32.9889;0;True;-0.0952664703061843;-0.242720344236431;-1.14344023421964;0.0619046136918884;0.0411672360174733;-0.0535305535340897;0.0827044097028199;4.08255119138346;2.72250694928423;239.77673190269;-0.0575825714997331;9.95389850649129;4.16346733071396;2.06264996919039;134.284482317783;-2.31146844949364;-9.32374413073654;3.41668951840217;5.03850902509736;246.510355719465;0.0355712089173387;0.325346414520893;4.09253003435788;2.60418037657224;239.498017065959;-0.16479010197619;10.195386849629;4.15009925247603;2.15903437706923;132.829663031981;-2.03435934179608;-9.12505949159563;3.44913297896119;4.91275982124622;247.067879340061;-0.103437810753622;-0.0029683723788107;6.16796874090585;0.999713665096953;0.000447536566636106;0.0239246218243844;-0.00124898525728898;0.999438122410865;0.0334944698072796;-0.023896189115534;-0.0335147606714596;0.999152507359557;-0.0125667048486622;0.243627582502368;6.17815508781956;0.999507114696821;0.020412484340596;0.0238507474406931;-0.0211509671395306;0.999291467570829;0.031131967962223;-0.0231983676041506;-0.0316210898481267;0.999230675278396;0.382146455087168;0.348198237026186;167.285890125833;0.450469726222898;0.320142821642913;174.573549935152;0.048;0.055;0.034;0.043;0.049;0.008;0.071;0.039
4436368;R;2018-11-20_09.26.20;True;False;;60.1;PR FF;SHAMIR;2;F;1.586;2.9152;-0.6523;2.9779;-0.6513;0;10;2.3;-9.5;0;0;NaN;2.12;0.75;-0.75;100;3;-0.75;100;NaN;NaN;NaN;0.0001;-0.4193;2.25;0.8143;-0.7318;101.728;0.047;-1.3352;3.034;-0.6823;99.96;-0.4121;1.8075;1.442;-0.7487;82.58;-0.0204;-0.3961;2.2444;2.136;True;0.0376905082344463;-0.0658910482582274;359.919439905174;-0.0032990870626469;-5.10954463399426E-18;0;0;True;-2.87500369182682;0.507220789009602;89.6142545878731;6.86646076035405E-18;0.0072705281509279;0;32.9861;0;True;0.0391340808770111;-0.346707562567149;-1.49454543891997;0.0766497562626654;0.0431810204393538;0.080330013850051;-0.00325346092879364;4.25244549493198;1.62479136525308;311.291007946947;0.0911721985978076;9.87469823365661;4.15996533630124;2.62062873098193;64.0225238725858;2.33612437820231;-9.43070631492354;3.80372311277409;3.67320958757893;297.726117163401;0.0327418779218369;0.339600496159327;4.25766075005708;1.50551116081708;314.853617269594;-0.214464646290277;10.215315184961;4.14338944891227;2.71900659334755;67.4176977868825;2.53412983775149;-9.02567377016543;3.83128059971909;3.54350241429922;299.620302844934;0.120511505762387;-0.0489009127540352;6.36818902901126;0.999823655020799;-0.00145903350919669;-0.0187224486131064;0.00172263961193897;0.99989951065334;0.0140712866497289;0.0187000367277379;-0.0141010572805907;0.999725696783848;0.0725333884058206;0.29969473796284;6.37352990886086;0.999534208499205;0.0246110510595783;-0.0180461133103751;-0.024399148443728;0.999631825210164;0.0118699444908932;0.0183316009963394;-0.0114241057741423;0.999766693890216;0.507132482024881;0.608987902309794;7.3401255838626;0.449266456072073;0.668567930132833;8.58767052728334;0.044;0.076;0.037;0.059;0.069;0.015;0.097;0.021
4437265;L;2018-11-20_18.29.06;False;False;;63;;HORIZONS;10021;B;1.586;NaN;NaN;3.584;4.04;NaN;NaN;NaN;NaN;0;0;NaN;NaN;1.25;-0.5;175;NaN;NaN;NaN;NaN;NaN;NaN;0;-1.403;2.506;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;False;0;0;0;0;0;0;0;False;0;0;0;0;0;0;34;0;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
4437265;R;2018-11-20_18.29.06;True;False;;66;PR FF;HORIZONS;10021;F;1.586;3.844;1.709;3.486;3.13;0;8;2.5;-14;0;0;NaN;3.01;1;-0.25;21;NaN;NaN;NaN;NaN;NaN;NaN;0;-1.403;2.504;1.0076;-0.2331;23.213;-0.0798;-2.1634;3.4027;-0.1452;17.482;-0.6567;1.7971;1.3274;-0.2005;23.127;-0.0248;-1.3938;2.439;3.001;True;0.102623642175784;0.0783806614499213;0.0305496832435059;-0.0104733037157455;-6.13669711521869E-18;0;0;True;-3.40634996723609;-3.26157618930657;89.8070128425389;1.48975420596516E-17;0.0232446900394211;0;40.9306;0;True;0.809951274025311;-0.169162445039315;0.302198611865899;0.0428176682494808;0.0306525934561612;0.100038721784549;0.209856662399978;3.1994457828248;3.22486083620419;317.069152251811;0.103727156653556;8.05896648187586;3.29700838140826;2.41081082037473;19.4176268633373;2.52829823179966;-13.6017913490018;2.08500038312292;6.2875766695735;298.930319141051;-0.696092524889898;0.380412845350626;3.23179748404789;2.8956510939742;313.059024011448;-0.651430746619173;8.22988794400681;3.31688609384349;2.09983362482188;24.855218266351;1.65785608558504;-13.4450495700488;2.15560115631217;6.03322947796516;295.942825455076;0.223809408270981;0.0947224440316755;6.20075778050511;0.999155995831111;0.000576814937736868;-0.041072658536641;1.62117398852515E-05;0.999895785554448;0.0144366813233717;0.0410767054657429;-0.0144251625634065;0.999051859991812;-0.592448652670133;0.269501539581021;6.23403824691889;0.999389692631869;-0.00498808732086801;-0.0345739966746484;0.00543479039871141;0.999902815977114;0.0128382886071321;0.0345065981299414;-0.0130183557301734;0.999319677130187;0.925022398845254;0.301832190957884;127.420538394553;0.829992501031627;0.278517463454922;110.12968559243;0.1;0.031;0.027;0.018;0.029;0;0.031;0.003
4447192;L;2018-11-20_08.24.06;True;False;;68;PR FF;HORIZONS;10021;F;1.586;1.451;-3.474;1.076;-1.09;0;8;2.5;-14;0;0;NaN;2.72;1;-0.75;105;NaN;NaN;NaN;NaN;NaN;NaN;0;-0.442;2.507;1.0285;-0.6777;106.362;0.2538;-1.3068;3.6355;-0.8308;100.272;0.3057;3.0979;1.4635;-0.8393;111.904;0.0932;-0.4021;2.5304;2.705;True;-0.0429806431300956;-0.0791024749899329;0.0298293903666346;0.00147625701323135;-7.7570426086646E-18;0;0;True;1.13906722727429;0.939477821768578;269.748463557145;1.37841503188638E-17;0.0243483096200254;0;42.9855;0;True;-0.125719531243949;-0.640717764553107;-1.51766489368064;0.0781749076962509;0.0322587421263821;-0.0860465670290744;0.054946675695239;3.57100949584662;3.31989427322455;258.179789961503;-0.0972470580356192;7.9209673465784;3.82205902151372;0.632920405753626;216.505124011302;-2.52589993250988;-13.7677826305202;2.28987921088327;6.57277951850195;255.157149819731;0.0204594584879328;0.690053736173594;3.60166483143536;3.01360990350719;258.167101597481;-0.198437668376276;8.55538154885158;3.80914928948084;0.527611022165969;187.915126952885;-2.05208834667973;-13.194948309645;2.39690527108002;6.27023346777813;255.794198036343;-0.118353007877721;-0.0994773963530889;6.29156413431485;0.999929616870088;0.000112664322655598;0.0118637520535843;-0.000694836468078915;0.998794666539845;0.0490788273478683;-0.0118439228434312;-0.0490836163939623;0.998724446528355;-0.00890022472656939;0.54986906376526;6.32303480244116;0.999572501754612;0.0265989113964445;0.0121372010179209;-0.027104019547074;0.998683664801988;0.0435466391592062;-0.010962931196407;-0.0438569899810097;0.998977666702008;0.620772207104227;0.790428493080187;15.5875717183442;0.575188424833897;0.737141791268933;16.5394914889563;0.067;0.082;0.071;0.043;0.067;-0.049;0.121;0.071
4447192;R;2018-11-20_08.24.07;True;False;;67;PR FF;HORIZONS;10021;F;1.586;1.84;-3.875;1.48;-1.48;0;8;2.5;-14;0;0;NaN;2.91;1.5;-0.5;90;NaN;NaN;NaN;NaN;NaN;NaN;0;-0.442;2.507;1.5185;-0.4576;91;0.1056;-1.6801;4.1457;-0.6758;89.601;-0.3822;3.954;1.9497;-0.597;73.879;0.1427;-0.3431;2.5181;2.89;True;0.00616831741376129;-0.0714617466282933;0.0561584375212447;-0.005002120482106;-6.56080188389566E-18;0;0;True;-1.35886930466944;1.33308655216103;89.7844715982689;1.53627920368458E-17;0.0315077350329524;0;42.8597;0;True;-0.21361082322;-0.576584895416644;-1.45536568796726;0.0603290952550889;0.031459873050544;-0.0325599988300173;0.0186156196671886;3.53000834185286;2.17321169968702;264.365229623621;-0.0351120419581348;7.89857515463607;3.66069630038385;0.382786612922218;129.787799781785;2.45106858588316;-13.8576836723544;2.65103400408736;4.50103153382488;274.772409605816;0.162548137840559;0.592141584489828;3.54639219010841;1.8947086814534;266.676978846014;-0.039653859841083;8.47102904254725;3.63930858840291;0.59968594795895;109.85169972392;2.99833840890662;-13.2168794687208;2.73178801411075;4.23248364754179;277.287048228311;-0.0433930217493493;-0.0911694811680746;6.43773187185258;0.999992649426838;0.000474438445736438;0.00380473395304232;-0.000588692255143841;0.999547179308564;0.0300847100322026;-0.00378873774771486;-0.0300867287097516;0.999540111362133;0.156971489568175;0.496117096367872;6.45462099837272;0.9996609129168;0.0258850443696762;0.00283260733765121;-0.0259484921177776;0.999343211242781;0.0252947010217443;-0.00217599245473268;-0.0253596258045283;0.99967602473796;1.24355668152665;0.544691353368352;177.685549342444;1.19172670967557;0.467584386160397;178.823833089017;0.069;0.064;0.041;0.031;0.05;-0.045;0.103;0.035
4455717;L;2018-11-20_17.33.30;False;False;;70;;HORIZONS;10021;B;1.586;NaN;NaN;1.977;1.04;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0.5;-0.25;72;NaN;NaN;NaN;NaN;NaN;NaN;0;-0.645;2.233;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;False;0;0;0;0;0;0;0;False;0;0;0;0;0;0;34;0;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
4455717;R;2018-11-20_17.33.30;True;False;;70;PR FF;HORIZONS;10021;F;1.586;4.009;-0.755;3.87;0.83;0;8;2.5;-14;0;0;NaN;3.39;0.75;-0.25;104;NaN;NaN;NaN;NaN;NaN;NaN;0;-0.645;2.246;0.7938;-0.2595;106.561;-0.0125;-1.4061;3.1069;-0.371;98.871;-0.4993;2.3152;1.1217;-0.3026;77.432;-0.0253;-0.6576;2.2574;3.401;True;0.00749475486420126;-0.0702183813479757;359.995129958965;-0.0075660161562616;-8.14951857443572E-18;0;0;True;-3.79237627475481;-1.02529423226185;89.7392625388809;1.30506183548769E-17;0.0131433701712048;0;36.5511;0;True;-0.0993664396838807;-0.452271526456987;0.470499370800954;0.056745641496546;0.0238086642227218;-0.0208697645831174;0.0762692818573592;3.02511560845215;2.75842365964416;285.67216834052;-0.0166626335601868;7.9021997161399;3.18237909523094;0.852279353455457;26.2817049556022;2.42123539818006;-13.6939384620831;1.84817698178819;6.36789796501784;282.739122293098;0.0810887668704768;0.519307329113718;3.03847520641273;2.569607003918;287.862042323553;0.149245442112535;8.34640978051291;3.16613023010962;1.0186169726637;35.2320395943089;2.41062217467525;-13.2716711226218;1.91122250097351;6.17097210005821;283.285626838802;0.0231159308134512;-0.0805229690860567;6.40666950189967;0.999916380420003;-0.000401457981984237;-0.0129255947348414;0.000857982300258321;0.999375217128522;0.035333259907507;0.012903334225428;-0.0353413952866564;0.999291994236449;0.127616932351376;0.374912737031448;6.42055360141359;0.999864904354685;-0.00857551773448876;-0.0140226080092775;0.00901457818742988;0.99946141442208;0.0315534223423989;0.0137444687019578;-0.031675567508737;0.999403696212447;0.682312256847055;0.328315326371694;177.388611821088;0.576377686312544;0.227160219668075;13.8527173005667;0.034;0.052;0.039;0.028;0.037;-0.003;0.082;0.045
